srcip,sport,dstip,dport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,attack_cat,label
236,33871,219,492,udp,INT,6.811588867026785,1403,86,237,186,0,0,dns,7.3206652364576,9.432091277861556,95,5,250,89372,26685,508,0.07579680991142934,0.6204746763903952,0.018761318747809286,Normal,1
199,2422,178,567,tcp,CON,78.31910557190821,1881,1994,161,116,4,1,ssh,0.30530416015245976,5.6970250578215476,2,51,229,10526,10830,644,0.32485838663279,0.24391459700428908,0.8619597903227036,Fuzzers,0
164,3857,93,868,icmp,FIN,12.876963598611734,1534,1381,104,225,2,2,dns,7.175898646990819,3.4624864920039435,52,58,196,34940,89170,622,0.8813043865829094,0.18140869748968824,0.9613114950482571,DoS,1
103,6992,185,36,icmp,CON,46.55850588171197,467,1022,107,115,0,1,http,6.55328673363225,2.754188720658078,46,64,952,13567,2675,298,0.8317935468494174,0.628319081191268,0.9017285777257511,DoS,0
209,11454,128,121,tcp,CON,16.407739424207712,1724,1048,17,83,8,6,dns,2.829141934687449,2.4547944395913976,82,83,668,23800,97918,714,0.8257601673192316,0.606981863942805,0.4171840845167848,Normal,0
139,23566,57,496,icmp,CON,78.24202789486947,984,1992,213,249,7,4,smtp,1.8073152253486147,5.469897179394737,81,61,576,81123,4983,278,0.04671406519829557,0.9548729371918838,0.3422432066323158,Analysis,1
113,61357,6,603,icmp,CON,3.7164053071611747,526,1232,125,233,2,5,dns,5.399820175519548,1.7270557818782695,45,60,616,14990,52987,562,0.8823859417600501,0.9685223117695748,0.011180283445200168,DoS,1
115,59484,2,200,udp,FIN,70.11390661680292,886,395,205,60,9,6,smtp,3.0527379754581583,1.4409751011493432,71,59,952,36308,70507,106,0.2531964341953864,0.8883040741398803,0.054301435081807625,DoS,0
58,7679,57,627,udp,INT,40.151021102795525,1311,1123,59,180,0,7,ssh,7.977559900282732,7.860457714249347,6,48,376,51231,23175,741,0.01208699504565569,0.23590941303611712,0.8952238317868394,DoS,0
24,64965,209,44,udp,FIN,26.505120839334893,1323,113,21,205,0,9,ssh,2.3304481263947654,1.005614141729546,56,47,503,36951,17601,389,0.7107784037842577,0.28291919698442913,0.9529622522199632,DoS,0
141,41994,118,267,udp,INT,96.04610686605183,1032,1451,3,15,7,7,smtp,9.464698264156008,9.026949648926122,75,82,325,40562,17134,259,0.6628308327944495,0.09255451844853146,0.6578059399325477,Backdoor,0
226,36743,115,481,tcp,INT,29.206177955404666,934,1422,156,250,2,7,http,0.9420314674923891,1.498434048384173,81,58,994,66366,81079,313,0.9958726121724999,0.06881947901654406,0.9566437212191423,Analysis,1
17,52137,102,69,tcp,CON,21.170346857711706,1089,967,232,159,7,7,dns,2.4542001926998336,0.3127684577826684,16,52,540,88734,73061,297,0.1045833748120889,0.18460184553286674,0.5281237394174377,Backdoor,1
219,32275,66,656,icmp,FIN,43.1464450868223,1496,1576,186,125,6,5,ftp,4.878602373719221,2.694740406681906,59,48,371,13907,89652,965,0.4689842746293462,0.32440042528362456,0.08104017064046465,Fuzzers,0
211,18147,182,557,udp,INT,30.224490185731778,480,173,171,9,3,1,ssh,4.6661640905147,5.860187991271882,26,34,436,93601,48985,158,0.8685717653022141,0.4848202585634781,0.19902510126967987,Backdoor,0
71,35192,4,587,tcp,CON,72.78088742670667,597,208,131,102,4,7,http,8.862897579467536,9.269474703486528,89,81,904,77429,41593,884,0.04033580552188265,0.9723699398180357,0.5083341733512584,Analysis,0
161,47799,156,535,udp,FIN,3.015920924324167,1428,153,30,127,7,1,dns,0.1985395368420817,0.31245109214756983,97,16,826,90320,27450,828,0.024259654941164777,0.5803346578170533,0.14488490936680265,Backdoor,1
42,45064,238,714,udp,FIN,69.20583204595526,1455,1052,143,157,9,6,smtp,7.941852360817315,6.396525793427957,8,53,937,17646,80753,768,0.2709777267754696,0.014817091543065652,0.054580261797222196,Backdoor,0
193,11984,224,676,tcp,CON,42.21101398094957,1261,99,97,22,5,7,dns,1.5001109654400735,3.118382955865168,90,31,875,42941,68406,576,0.9121426649067849,0.5001704078260313,0.045397105832024054,Analysis,1
178,61544,94,682,tcp,CON,78.39357144881146,1547,517,28,224,6,7,ssh,2.2342498868946556,0.38325354016113256,23,72,804,33241,90421,873,0.49696146524015394,0.41202599282876196,0.12337305477664129,Fuzzers,1
91,19393,218,233,icmp,CON,33.38971084686143,1816,1930,71,4,2,5,ssh,0.6897087946602509,9.798326492834528,34,34,800,1486,75435,231,0.3874522120591195,0.15528569268929893,0.6507807916389367,DoS,1
18,53921,61,709,udp,FIN,1.8134235992069536,786,417,176,152,2,5,smtp,6.578791862745175,4.586459300236153,47,47,644,43679,38766,447,0.9102814817604173,0.6808211552860929,0.7470971837718215,Fuzzers,1
247,21139,62,200,udp,INT,76.32776692682772,1216,1914,208,226,4,7,ssh,4.125166071810086,7.334887916089373,6,40,199,20312,76610,935,0.6015819890216515,0.22845529442023493,0.4341350222270093,Normal,0
114,5114,88,41,tcp,FIN,13.253840055644162,1735,1584,79,198,3,8,ssh,2.5736953184363287,3.9374444830073427,43,92,217,14841,25977,305,0.959337645370823,0.8441107303209411,0.9033209051299441,DoS,0
227,65305,5,1001,tcp,FIN,47.7776155247543,1400,801,177,189,6,8,dns,8.3776260603807,1.3438139915404745,14,30,623,38918,21787,912,0.5571729196498506,0.22262799168324832,0.4901956249481242,DoS,1
173,39007,68,199,udp,INT,83.2995553234054,389,1468,254,52,9,6,ftp,9.447504139309284,8.564859516425283,74,86,323,99060,51069,809,0.22856300241777883,0.6655561384518245,0.5092533591093946,Fuzzers,1
198,14866,218,134,tcp,INT,92.49950016272305,715,1356,28,61,8,0,ssh,5.274776574408148,2.447699200529916,25,73,812,8709,91130,698,0.027870447825256495,0.17969795238998998,0.6833666580339025,Normal,0
194,1044,194,324,tcp,INT,24.600857629880267,1216,1259,96,25,8,3,smtp,8.006586660576843,5.175960771189326,24,91,501,77538,24592,336,0.06749123500906984,0.5599469366866067,0.2895504868598494,Fuzzers,1
50,9359,84,1023,tcp,FIN,83.81655307602024,408,143,2,190,2,2,ssh,0.7738158574096876,1.3471000046632209,84,23,918,28957,16340,656,0.8006300604225863,0.6109114506225038,0.8945141331371406,Backdoor,1
93,11983,80,887,icmp,CON,77.61082464594033,1512,167,43,249,2,2,ssh,6.877364319571572,1.4997269566413818,4,6,199,57149,61969,971,0.6233806481658675,0.8904335390189159,0.9982853822518349,DoS,1
119,60741,89,742,icmp,FIN,92.35659884944752,1896,1425,209,3,1,9,http,4.586455553737676,9.715309865550942,93,72,750,77611,68478,717,0.5038559034519485,0.5604150735366926,0.8166561364391927,Fuzzers,1
127,12442,31,208,tcp,CON,81.51526370016597,1169,784,208,141,7,2,ftp,7.364123949864755,3.8215945384727643,88,72,736,20168,44366,928,0.3997642159901079,0.24534360455400106,0.5587806290339716,Fuzzers,1
12,11470,41,651,tcp,INT,8.949517024111787,1222,934,238,246,8,9,smtp,1.2922598574712918,9.50246211876983,55,21,995,59712,72113,536,0.30633235528409386,0.47465816746758793,0.8244198242499547,Backdoor,0
139,55071,253,856,icmp,FIN,94.43839559847815,1369,1324,159,18,3,2,ssh,9.197568111600154,1.3148563363927623,40,80,826,21388,6657,415,0.6965433583320181,0.898352907081185,0.7119134078391601,DoS,1
40,57747,177,361,udp,CON,2.470521535042114,977,1017,245,91,9,6,ftp,8.800287085947144,4.541742949586803,59,96,196,11904,83249,813,0.660818613449698,0.9972154241941255,0.011585251213975245,Fuzzers,1
189,14505,173,280,icmp,CON,34.35560808176855,1412,737,186,159,8,8,dns,3.780792181411571,2.336615841352968,70,7,848,33770,79277,565,0.22941964858572994,0.8161406411275504,0.37835251881609255,Fuzzers,0
174,42985,72,891,icmp,CON,38.92351869344189,1997,238,31,177,0,4,http,1.159078771717269,3.566890616163426,13,52,946,28341,11573,788,0.34198372123465703,0.6375979468946825,0.23496870616031318,DoS,1
235,35501,218,152,icmp,INT,48.526485846817934,665,1962,119,149,6,4,ftp,3.2126645937816436,5.4866660314739875,56,67,442,21133,50238,568,0.0004751822315126608,0.3596510967016975,0.16691666879583233,DoS,1
190,38237,45,933,tcp,INT,23.522918603252563,559,805,100,96,9,5,ftp,7.955884073995611,8.005038357787646,12,40,464,71612,38642,183,0.2324834672501005,0.45643453878750984,0.353889831915266,Backdoor,0
94,21107,247,500,udp,FIN,12.37974133620413,971,1605,25,244,0,1,dns,0.7599049092887955,3.166066267345596,85,5,699,46794,30382,642,0.9064139260615843,0.42858497147494756,0.4496387455439266,Backdoor,1
246,49493,128,744,udp,CON,83.7047490913908,1423,397,32,138,7,8,smtp,4.8383106125501545,6.22589999521864,10,40,410,70532,44463,972,0.8223470197803495,0.059110784640856506,0.664398565606294,Normal,1
105,57856,85,393,icmp,INT,64.1819549719336,1513,690,243,227,1,3,ftp,0.6448856283111526,2.5476118529834157,32,94,855,65122,64020,585,0.8571058479410881,0.8977830386480687,0.09320001771937403,Fuzzers,1
83,47858,191,732,udp,FIN,47.489311031109004,481,52,238,56,9,2,http,7.990186723679048,6.11163263510003,22,54,952,7389,42244,524,0.06592834343887144,0.37916220484621366,0.5232050925763612,DoS,0
231,59287,106,948,icmp,CON,77.46034126968644,1898,158,249,124,9,2,ssh,0.464430567402091,4.453632226537642,78,44,479,44059,39221,791,0.6286690144376978,0.9407927707373408,0.4428541623521395,Fuzzers,0
95,8154,69,515,icmp,CON,91.51570927159788,902,849,115,234,0,9,http,6.614067663280261,0.09989016659538885,41,70,304,86411,60965,111,0.6087162016566123,0.46362417021897906,0.9605967382527449,Backdoor,0
20,43411,174,233,icmp,FIN,22.392657205672517,994,687,95,154,7,5,http,3.229398252892958,0.8634041419156269,2,3,379,18523,42917,416,0.6586449193156492,0.06371171211830962,0.9316307645281292,DoS,0
120,65500,184,98,udp,INT,32.291041129433076,783,244,232,175,9,1,smtp,9.240056046612743,3.6789123338077445,23,26,394,54774,62996,437,0.26475772105041107,0.2716027821269251,0.13886795519976503,DoS,0
203,35580,154,949,udp,CON,93.43220995033235,111,480,49,172,4,8,http,2.8561396961338437,8.180876851746255,63,98,439,63280,94303,947,0.9751329882798107,0.6621656978012669,0.5334413154429211,DoS,1
49,61786,118,1023,tcp,FIN,54.40433612180987,1518,403,116,18,1,9,http,5.242555261026278,7.818846067464779,76,75,465,46732,33087,866,0.46658187428953246,0.9558124482361647,0.6652866665736473,Fuzzers,0
118,23498,84,673,icmp,FIN,28.123926697016767,939,1532,192,179,7,8,ssh,5.920584337603183,8.082184701517072,80,68,859,93844,86197,183,0.07426859689076659,0.4059635996296901,0.9666942534450742,Backdoor,1
34,58864,103,35,tcp,FIN,15.822204472015333,956,643,24,56,0,5,ftp,8.278651635197406,9.028700503333662,67,28,734,44785,63407,487,0.6501217516155128,0.340299959793697,0.6503598637000222,Backdoor,0
175,61587,223,908,tcp,FIN,98.87102629105988,1067,678,68,125,9,7,smtp,8.168780307815473,2.2452881349463407,64,51,378,18963,96499,460,0.03200950815900361,0.020253734371168508,0.07069758788662373,Analysis,1
121,41168,92,517,udp,INT,53.50238985083321,718,928,91,21,8,3,ftp,3.695266271200853,1.0003597658266095,94,71,222,15010,37863,565,0.6337629668318594,0.9178870697983583,0.6824474268905109,Fuzzers,1
84,46477,246,254,udp,FIN,86.22575597767371,300,404,251,80,9,2,ftp,0.3906994778863593,5.89660224276094,81,7,623,16039,3428,841,0.041283949783602725,0.6032002429156946,0.710674553702043,DoS,1
58,34749,37,388,udp,CON,63.599664025875924,612,511,247,37,7,0,http,7.4969260589051165,7.230168280822644,78,6,904,2489,66294,595,0.09752590900170954,0.0010931944315309972,0.0969399712376936,Fuzzers,1
144,21471,42,965,tcp,CON,44.366403335000335,1110,441,60,143,6,9,ssh,8.076044095207804,7.22771019475271,51,31,642,62252,46143,160,0.37071171000454495,0.0010899510278259417,0.5602517178678916,Backdoor,0
171,35619,85,799,icmp,CON,85.82981308416174,1682,1907,223,15,4,6,http,6.795621816677818,8.428107770334275,79,50,411,56187,9518,428,0.3399947077188863,0.6094416568195175,0.5910138232885348,Normal,1
239,63111,1,619,icmp,CON,35.65082301296506,897,1244,156,179,0,6,dns,3.465450949128411,4.773581961234733,21,89,475,10655,24901,313,0.15535317820158223,0.7051050381291483,0.910172506843875,Fuzzers,0
112,1987,224,758,tcp,CON,76.84720946122057,448,1841,131,248,8,9,http,8.653785428137459,8.879857529730812,65,22,596,55958,17955,742,0.5358655505232761,0.9907776259982588,0.014862830167934438,Fuzzers,0
41,14254,87,871,udp,INT,45.34160439153617,565,1732,53,151,3,2,smtp,9.994738354431098,5.958601066796312,21,56,293,52110,14177,425,0.5056406354023429,0.08718598085784257,0.9243453172998254,DoS,1
212,33245,26,650,tcp,INT,89.7389850309931,940,526,84,168,8,7,ftp,3.5946097211050088,9.017431425203917,4,78,633,9441,95568,272,0.6585563637382104,0.07198413459315645,0.5207032582850374,Backdoor,1
160,22920,158,335,icmp,FIN,50.32179609889037,1831,128,140,185,2,5,dns,6.9555030663723985,7.622954826423013,19,84,974,3064,41579,902,0.5744562306309865,0.36935349534440065,0.06763503612516508,Fuzzers,1
178,41263,244,95,udp,FIN,32.581697229495845,869,919,42,144,0,2,ssh,6.8809224974918735,7.9899325995068935,69,6,803,18906,43260,869,0.6726048676273485,0.5472551800082905,0.02945737965853079,Fuzzers,0
25,24283,253,143,udp,CON,72.57442937237745,549,748,120,23,3,6,ssh,2.423241843524325,3.784974890790209,53,14,895,83008,30075,172,0.9451587682196627,0.6217668858206478,0.35250629157135216,Backdoor,0
80,43517,28,257,tcp,FIN,86.01338553900698,963,1230,36,169,0,7,smtp,3.6660285765703895,7.517972780339513,73,48,793,98897,60307,655,0.09200939280435438,0.8936037477157521,0.6068165353667033,DoS,1
196,7883,202,791,icmp,CON,85.10182836014542,1836,347,23,251,7,0,smtp,8.264500758850936,5.286864584011943,62,67,204,10710,9168,268,0.7299834009281951,0.7246600367822777,0.3738662559982755,Normal,1
212,22450,92,114,udp,CON,47.840513562902565,1347,405,40,178,5,7,ssh,6.949500249804579,1.4294492586961227,2,94,199,37920,16149,730,0.5053959208852491,0.36898992635213657,0.9676654553619334,Analysis,1
111,45717,213,147,icmp,CON,44.01709876662346,1448,445,192,38,1,8,ssh,8.82475396583823,6.409879332280051,10,8,165,81227,81268,811,0.3490101425936011,0.5955163151636955,0.839454319367534,Backdoor,0
205,31426,155,1002,tcp,CON,14.929327223890976,1778,1271,136,144,0,0,http,9.81462962073794,9.159577846779621,83,53,491,54796,62641,264,0.11426678290771242,0.8348187705486113,0.7691445178699132,Analysis,1
214,47064,186,421,tcp,INT,3.9243336209328072,90,386,210,231,0,8,smtp,4.1806617302653635,4.989006316520941,84,88,936,96656,80920,980,0.7172837445151444,0.541762130377923,0.3867766381422606,Normal,1
99,42073,213,148,icmp,FIN,93.15205516111801,349,864,178,202,6,1,http,7.130732676769793,7.824555720750439,16,31,443,95430,77492,994,0.12998554161231923,0.8061853742880124,0.7976393388524488,Normal,1
229,22215,228,895,tcp,INT,72.52298620902822,487,552,12,122,6,0,ftp,9.007678214217627,1.8208912623268159,11,35,590,55655,81307,780,0.5806609780603708,0.6141948572310347,0.3757135895400454,Analysis,0
74,28654,37,991,tcp,CON,57.67816730818708,1444,100,76,148,3,7,ftp,8.761169514868584,9.248215181189533,67,81,619,82237,1561,857,0.31377832305927134,0.3471619545627951,0.853371865172295,DoS,1
61,63257,184,526,tcp,INT,58.34071518886299,449,386,87,231,8,9,smtp,5.0241169204848255,5.192365395696044,78,56,272,78176,51369,234,0.2792127573311268,0.1099530366796112,0.8644575237349312,Backdoor,1
174,63092,36,133,udp,CON,2.334684004822307,320,543,250,37,5,8,http,3.724691175188559,6.707805279720009,36,72,466,31449,68253,941,0.12420108008793851,0.43618842168076444,0.295086607286036,DoS,1
162,3319,240,650,tcp,INT,45.375149815370975,873,1636,153,52,6,6,ftp,9.129055595071325,3.77227961150198,63,94,332,65335,37664,220,0.8775090630430562,0.8931019032410692,0.6495758623693308,Normal,1
36,46532,160,885,udp,CON,92.13247022761266,53,399,119,37,9,4,ssh,9.32286125291942,7.527807744578896,97,1,571,72721,52898,658,0.4819253005406694,0.034737047164504764,0.5853929051120055,DoS,1
212,32697,49,989,icmp,INT,46.20372471365236,1763,1180,238,225,1,6,http,9.0237160309568,5.441843377786552,69,59,547,80664,22110,182,0.6261640251826025,0.8876867928838259,0.8538230906233617,Backdoor,0
51,1106,75,596,tcp,CON,58.08128148077273,55,1652,152,22,7,7,ssh,6.0954270576144545,4.48736121335244,72,3,570,61765,44946,203,0.3018222895340055,0.7576267288259299,0.7483060526043789,Backdoor,0
205,41931,228,968,tcp,INT,37.7101172052719,334,1935,187,48,4,0,smtp,4.5308455726098,0.8198651716519434,67,62,190,34178,37172,645,0.38675165592660654,0.6000683894539085,0.08494014571790731,Fuzzers,0
2,2525,164,855,udp,FIN,10.503446459411158,1796,1015,137,51,3,5,smtp,7.396920082886346,8.090673043272481,77,14,984,64163,42222,447,0.13176883081403157,0.6976391226362625,0.004819714998441582,Backdoor,0
203,21591,59,182,udp,INT,32.35687587918963,1976,112,104,180,6,1,smtp,5.219177518467962,0.4682606381955834,51,76,893,15522,93650,526,0.6860563739715049,0.8658385891372736,0.784766527787263,Fuzzers,0
200,45555,209,656,udp,FIN,8.508911866281089,1698,392,196,11,9,2,ftp,3.820247768948245,6.467162857113768,31,36,515,12248,1700,743,0.917012642512174,0.638295266776589,0.06192317988459162,Fuzzers,0
199,53449,183,688,udp,INT,57.85795383901283,1006,1115,93,8,9,7,dns,4.980396579996831,9.591148858658963,83,27,557,99888,67343,769,0.6587419396777936,0.3036860922281932,0.3236286473457206,Backdoor,0
169,27644,20,791,icmp,INT,98.17541219913201,678,1155,238,110,4,2,http,5.891275646916022,5.066355949545411,43,27,190,28227,24621,789,0.8969775134566276,0.6110348649637659,0.33854687190950594,Normal,0
120,53197,72,553,icmp,FIN,36.269870293110685,1837,1957,85,83,5,9,ftp,3.4404052332911608,1.2552342717342735,94,56,288,35611,82405,601,0.01219581119042612,0.856577892314767,0.10833610783721592,Fuzzers,0
180,55179,215,753,udp,CON,85.84393485238095,1312,894,216,51,3,2,ftp,0.41383996448600247,1.5614962930977516,56,7,627,84627,43675,639,0.6022379084519683,0.9448310800711786,0.8833607344580869,Normal,1
71,29895,90,606,icmp,CON,4.278086884565835,118,894,19,245,9,9,dns,7.619428112092118,5.712267459593601,53,51,176,91464,12667,340,0.0997080759886001,0.947549099032179,0.7293198920313124,Normal,1
199,12185,10,281,udp,CON,50.50185144525528,333,877,131,158,9,8,ftp,5.447309947442185,2.367403028802361,44,39,420,56874,32151,100,0.06832504219339486,0.6006329871727937,0.7947831956695212,Analysis,0
142,43549,154,506,tcp,FIN,65.44681626558612,1792,583,123,187,5,1,ftp,0.5015770437331746,2.2258149500658577,16,56,958,29795,79751,308,0.9504984174681176,0.6317080492069965,0.7196687991115855,Fuzzers,1
117,1915,229,958,udp,CON,31.922701668904296,1518,434,239,247,0,2,ftp,5.120720333679816,9.79570761926264,93,11,736,3340,78790,319,0.9289801749222976,0.27624148043975627,0.4161332972798,Normal,0
129,58646,142,866,icmp,INT,9.834720444096789,188,1874,95,178,3,9,http,3.6072855254169376,5.76581679270787,24,69,715,83558,17280,834,0.8221978065867979,0.14374720465635893,0.701245268427978,Analysis,1
145,26059,248,666,udp,CON,21.790040545069566,1996,1292,107,72,5,8,ftp,4.834760907739159,7.8131402584121945,65,70,342,65701,91506,540,0.5018550866788672,0.2632798358611089,0.5667734683483833,Analysis,1
10,50054,29,343,udp,CON,7.000974832767904,1154,1726,16,139,8,4,dns,4.96381852722417,5.726237163786956,22,87,154,64340,49157,249,0.5552153614485911,0.3924877460171011,0.45285508159634447,Analysis,0
36,48508,170,222,icmp,INT,88.82196688834372,1891,1647,19,20,9,4,ssh,9.939866309004655,6.474928775707092,76,60,782,26347,67851,647,0.6872194795260089,0.8398067759313219,0.8583047291514049,DoS,0
63,31528,166,306,icmp,INT,0.4582041966968986,1922,1757,143,182,0,4,smtp,3.45559867009791,0.6933708935325456,40,72,773,25906,52467,604,0.8166838302975125,0.9380837886347456,0.447368899593541,DoS,0
30,63711,251,327,tcp,INT,6.937207148290014,1282,990,34,153,9,5,smtp,0.39477234043810094,8.95141480858462,74,39,168,12197,99325,280,0.6873714065441828,0.7713951686385407,0.13875086379402357,Analysis,0
112,52394,133,985,tcp,CON,79.56897743597476,148,604,86,235,2,4,ftp,5.958714694057896,9.893636694907103,27,61,644,67330,84450,999,0.06017442078947588,0.8835753791190587,0.42308568702002625,DoS,1
170,58029,209,555,udp,FIN,29.973004997904674,916,331,242,78,1,5,ssh,2.996555939328603,8.596499351524269,94,31,452,37428,19774,813,0.18926604691746707,0.24508163294098795,0.5289230126178077,DoS,0
167,7081,37,412,tcp,FIN,36.47598573756089,1793,1667,74,17,9,8,dns,7.508802102584329,4.679310590284329,86,12,839,28145,60933,309,0.6809685270308024,0.8204129714663496,0.13676686422408346,Backdoor,0
120,32252,12,905,icmp,FIN,30.668702085884714,758,552,239,90,8,1,dns,8.446829635505392,3.882558667660706,9,25,974,9916,55065,304,0.5323653850509706,0.20759810955413183,0.03884546557793944,Backdoor,1
218,62436,182,390,icmp,FIN,89.07067657873961,643,1698,107,76,9,4,ftp,4.38896419513978,2.8272577184771253,59,79,631,9966,96208,541,0.10200495165585899,0.6095476650626147,0.7984291846442847,Analysis,1
144,53459,1,819,udp,FIN,92.873888853069,582,655,233,252,3,0,dns,7.395657961980819,4.612937461817761,32,13,967,92106,88011,645,0.521784445528914,0.4353240990403897,0.38518089242551656,Fuzzers,1
21,30318,223,664,udp,CON,92.8813745118013,1348,319,89,202,5,1,http,8.923769913429089,3.2754027727283552,64,72,612,91574,54774,654,0.7011827083431121,0.03447110839707501,0.2425792861376913,Fuzzers,0
195,5561,6,323,udp,FIN,30.734332122341723,207,1770,191,89,7,7,smtp,9.840804697202786,6.7621735800546325,15,32,858,60264,42323,219,0.5225720020509764,0.8364069204432156,0.9951096947961507,Analysis,0
146,19230,175,984,tcp,INT,20.037893321199874,896,731,38,254,6,2,smtp,6.604595540300582,9.893348188009941,7,58,247,49912,94853,296,0.15878692400291072,0.7977851089640504,0.28595326947858724,DoS,1
162,37941,115,711,icmp,CON,82.79962190004146,450,1262,173,84,0,7,http,9.13130216752612,1.8034146626244596,20,8,194,21697,10791,218,0.469086353187527,0.5457979336690358,0.4155243266431242,Backdoor,0
144,42430,164,1013,udp,FIN,84.89648706573153,1773,839,85,185,8,1,http,1.9498215514992767,4.841086977976903,53,97,249,18894,97316,749,0.318197079860973,0.3584818301843974,0.215678580465421,Analysis,0
